#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20
#   TIMESTEP                     TIME                     MASS                     XMOM                     YMOM                     ZMOM              ANG. MOM. X              ANG. MOM. Y              ANG. MOM. Z              KIN. ENERGY              INT. ENERGY               GAS ENERGY     CENTER OF MASS X-LOC     CENTER OF MASS Y-LOC     CENTER OF MASS Z-LOC     CENTER OF MASS X-VEL     CENTER OF MASS Y-VEL     CENTER OF MASS Z-VEL      MAXIMUM TEMPERATURE          MAXIMUM DENSITY
          40   1.0837732851668070e-10   2.2664706040058191e-09   1.4077840394092721e-05  -1.8121789895881593e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -8.4700250945716920e-07   3.1937926092946647e+01   2.1317131359558769e+02   2.4510923968853956e+02   3.9992825001946612e-02   5.9999999456325122e-02   0.0000000000000000e+00   6.2113492092997722e+03  -7.9955989121820812e+00   0.0000000000000000e+00   1.1874988240178861e+06   2.9868598994440050e-06
          41   1.1945993066659024e-10   2.2664706040058191e-09   1.4773089241133982e-05  -1.9807311573217291e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -8.8881683809931520e-07   3.2274817008050690e+01   2.1283442268048918e+02   2.4510923968854152e+02   3.9992904117822164e-02   5.9999999347960138e-02   0.0000000000000000e+00   6.5181031754939331e+03  -8.7392757436206470e+00   0.0000000000000000e+00   1.1112286137563733e+06   3.0759199713901262e-06
          42   1.3165079303149071e-10   2.2664706040058199e-09   1.5506723512843811e-05  -2.1594763954435395e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -9.3294714395471615e-07   3.2475697475894336e+01   2.1263354221264183e+02   2.4510923968854053e+02   3.9992996019103465e-02   5.9999999215969851e-02   0.0000000000000000e+00   6.8417933528177327e+03  -9.5279258933551745e+00   0.0000000000000000e+00   1.0789037548568535e+06   3.1985636962575240e-06
          43   1.4506074163288123e-10   2.2664706040058199e-09   1.6260603761543999e-05  -2.3468811593208605e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -9.7828810483000087e-07   3.2825459974469972e+01   2.1228377971406547e+02   2.4510923968853930e+02   3.9993113357853528e-02   5.9999999062840863e-02   0.0000000000000000e+00   7.1744163514870115e+03  -1.0354783138033739e+01   0.0000000000000000e+00   1.0701212066116862e+06   3.2339498695621656e-06
          44   1.5981168509441083e-10   2.2664706040058191e-09   1.7075545067548705e-05  -2.5420483524499259e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.0273196200644337e-06   3.2905790204031469e+01   2.1220344948450946e+02   2.4510923968854030e+02   3.9993235864787695e-02   5.9999998878169772e-02   0.0000000000000000e+00   7.5339803822599515e+03  -1.1215889356592772e+01   0.0000000000000000e+00   1.0798879498147126e+06   3.3679401540254124e-06
          45   1.7603772290209336e-10   2.2664706040058203e-09   1.7919109425261403e-05  -2.7448547737679933e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.0780637569605433e-06   3.3272193691266445e+01   2.1183704599727668e+02   2.4510923968854496e+02   3.9993373691341365e-02   5.9999998664032210e-02   0.0000000000000000e+00   7.9061733223412175e+03  -1.2110700967913125e+01   0.0000000000000000e+00   1.0474347453006487e+06   3.4400100945631279e-06
          46   1.9388636449054414e-10   2.2664706040058199e-09   1.8808601066161148e-05  -2.9542636442780787e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.1315702917355446e-06   3.3474344188434905e+01   2.1163489550010547e+02   2.4510923968854135e+02   3.9993534841849046e-02   5.9999998410575767e-02   0.0000000000000000e+00   8.2986300519046363e+03  -1.3034643551328816e+01   0.0000000000000000e+00   9.6028703429926152e+05   3.4699359370254455e-06
          47   2.1351987023784001e-10   2.2664706040058187e-09   1.9718334172875051e-05  -3.1702563234681859e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.1862833038718924e-06   3.3717517206387228e+01   2.1139172248214783e+02   2.4510923968853709e+02   3.9993718739048702e-02   5.9999998113829507e-02   0.0000000000000000e+00   8.7000176124165737e+03  -1.3987634862172900e+01   0.0000000000000000e+00   9.1072453415400221e+05   3.5690906447243387e-06
          48   2.3511672655986546e-10   2.2664706040058187e-09   2.0673108492230486e-05  -3.3975151570695082e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.2437116969631285e-06   3.4199210738431226e+01   2.1091002895011076e+02   2.4510923968854198e+02   3.9993927766252643e-02   5.9999997763427487e-02   0.0000000000000000e+00   9.1212780151184397e+03  -1.4990334095066807e+01   0.0000000000000000e+00   8.7176757426081959e+05   3.6121614649655806e-06
          49   2.5887326851409348e-10   2.2664706040058195e-09   2.1683276254866282e-05  -3.6358286241086957e-08   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00  -1.3044836169185194e-06   3.4183751969466364e+01   2.1092548771907434e+02   2.4510923968853939e+02   3.9994175448480405e-02   5.9999997352205840e-02   0.0000000000000000e+00   9.5669788156716841e+03  -1.6041807988520286e+01   0.0000000000000000e+00   8.7541103970798384e+05   3.6563284077006033e-06
