#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10
#   TIMESTEP                     TIME                  Mass H0                  Mass H1                  Mass N0                  Mass N1                  Mass N2                  Mass N3                  Mass N4                  Mass N5
          46   1.9388636449054414e-10   1.1395684066553836e-42   2.7800453241616706e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          47   2.1351987023784001e-10   1.1395684066553831e-42   2.7800453241616924e-46   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72   1.1398464111878000e-72
          48   2.3511672655986546e-10   1.1395684066553837e-42   2.7800453241617791e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          49   2.5887326851409348e-10   1.1395684066553834e-42   2.7800453241617138e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          50   2.8500546466374430e-10   1.1395684066553833e-42   2.7800453241615123e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          51   3.1375088042836020e-10   1.1395684066553829e-42   2.7800453241615045e-46   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72   1.1398464111878007e-72
          52   3.4537083776943772e-10   1.1395684066553829e-42   2.7800453241617554e-46   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72   1.1398464111878012e-72
          53   3.8015279084462295e-10   1.1395684066553831e-42   2.7800453241615847e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          54   4.1841293922732674e-10   1.1395684066553831e-42   2.7800453241617122e-46   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72   1.1398464111878005e-72
          55   4.6049910244830090e-10   1.1395684066553831e-42   2.7800453241617072e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
          56   5.0679388199137247e-10   1.1395684066553831e-42   2.7800453241616395e-46   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72   1.1398464111878002e-72
